Expiry,Tenor,Spread,LogNormalVol
7Y,2Y,-150,0.7196
7Y,2Y,-100,0.5537
7Y,2Y,-75,0.5021
7Y,2Y,-50,0.4609
7Y,2Y,-25,0.4274
7Y,2Y,0,0.3996
7Y,2Y,25,0.3767
7Y,2Y,50,0.3574
7Y,2Y,75,0.3412
7Y,2Y,100,0.3277
7Y,2Y,150,0.3074
7Y,2Y,200,0.2938
8Y,2Y,-200,1.0788
8Y,2Y,-150,0.6571
8Y,2Y,-100,0.5144
8Y,2Y,-75,0.4684
8Y,2Y,-50,0.4313
8Y,2Y,-25,0.4008
8Y,2Y,0,0.3756
8Y,2Y,25,0.3545
8Y,2Y,50,0.3369
8Y,2Y,75,0.3220
8Y,2Y,100,0.3097
8Y,2Y,150,0.2912
8Y,2Y,200,0.2791
9Y,2Y,-200,0.9438
9Y,2Y,-150,0.6123
9Y,2Y,-100,0.4852
9Y,2Y,-75,0.4433
9Y,2Y,-50,0.4092
9Y,2Y,-25,0.3810
9Y,2Y,0,0.3576
9Y,2Y,25,0.3378
9Y,2Y,50,0.3215
9Y,2Y,75,0.3077
9Y,2Y,100,0.2962
9Y,2Y,150,0.2791
9Y,2Y,200,0.2680
10Y,30Y,-200,0.6565
10Y,30Y,-150,0.4572
10Y,30Y,-100,0.3638
10Y,30Y,-75,0.3312
10Y,30Y,-50,0.3044
10Y,30Y,-25,0.2822
10Y,30Y,0,0.2637
10Y,30Y,25,0.2488
10Y,30Y,50,0.2367
10Y,30Y,75,0.2274
10Y,30Y,100,0.2202
10Y,30Y,150,0.2112
10Y,30Y,200,0.2072
1M,30Y,-200,1.4241
1M,30Y,-150,0.8312
1M,30Y,-100,0.5566
1M,30Y,-75,0.4622
1M,30Y,-50,0.3866
1M,30Y,-25,0.3294
1M,30Y,-20,0.3201
1M,30Y,-15,0.3117
1M,30Y,-10,0.3039
1M,30Y,-5,0.2971
1M,30Y,0,0.2912
1M,30Y,5,0.2862
1M,30Y,10,0.2822
1M,30Y,15,0.2791
1M,30Y,20,0.2769
1M,30Y,25,0.2755
1M,30Y,50,0.2793
1M,30Y,75,0.2954
1M,30Y,100,0.3169
1M,30Y,150,0.3586
1M,30Y,200,0.3965
1Y,30Y,-200,0.9574
1Y,30Y,-150,0.6327
1Y,30Y,-100,0.4865
1Y,30Y,-75,0.4363
1Y,30Y,-50,0.3957
1Y,30Y,-25,0.3628
1Y,30Y,0,0.3362
1Y,30Y,25,0.3154
1Y,30Y,50,0.2998
1Y,30Y,75,0.2886
1Y,30Y,100,0.2812
1Y,30Y,150,0.2744
1Y,30Y,200,0.2740
2Y,30Y,-200,0.8640
2Y,30Y,-150,0.5894
2Y,30Y,-100,0.4602
2Y,30Y,-75,0.4161
2Y,30Y,-50,0.3803
2Y,30Y,-25,0.3509
2Y,30Y,0,0.3268
2Y,30Y,25,0.3073
2Y,30Y,50,0.2917
2Y,30Y,75,0.2797
2Y,30Y,100,0.2708
2Y,30Y,150,0.2600
2Y,30Y,200,0.2556
3M,30Y,-200,1.2563
3M,30Y,-150,0.7574
3M,30Y,-100,0.5436
3M,30Y,-75,0.4699
3M,30Y,-50,0.4106
3M,30Y,-25,0.3642
3M,30Y,-20,0.3565
3M,30Y,-15,0.3493
3M,30Y,-10,0.3428
3M,30Y,-5,0.3367
3M,30Y,0,0.3313
3M,30Y,5,0.3264
3M,30Y,10,0.3221
3M,30Y,15,0.3183
3M,30Y,20,0.3152
3M,30Y,25,0.3125
3M,30Y,50,0.3061
3M,30Y,75,0.3083
3M,30Y,100,0.3157
3M,30Y,150,0.3366
3M,30Y,200,0.3588
3Y,30Y,-200,0.7977
3Y,30Y,-150,0.5577
3Y,30Y,-100,0.4407
3Y,30Y,-75,0.4001
3Y,30Y,-50,0.3669
3Y,30Y,-25,0.3396
3Y,30Y,0,0.3171
3Y,30Y,25,0.2986
3Y,30Y,50,0.2838
3Y,30Y,75,0.2721
3Y,30Y,100,0.2632
3Y,30Y,150,0.2518
3Y,30Y,200,0.2464
4Y,30Y,-200,0.7491
4Y,30Y,-150,0.5299
4Y,30Y,-100,0.4224
4Y,30Y,-75,0.3843
4Y,30Y,-50,0.3529
4Y,30Y,-25,0.3270
4Y,30Y,0,0.3056
4Y,30Y,25,0.2880
4Y,30Y,50,0.2738
4Y,30Y,75,0.2626
4Y,30Y,100,0.2539
4Y,30Y,150,0.2427
4Y,30Y,200,0.2373
5Y,30Y,-200,0.7236
5Y,30Y,-150,0.5137
5Y,30Y,-100,0.4104
5Y,30Y,-75,0.3738
5Y,30Y,-50,0.3433
5Y,30Y,-25,0.3183
5Y,30Y,0,0.2975
5Y,30Y,25,0.2804
5Y,30Y,50,0.2666
5Y,30Y,75,0.2557
5Y,30Y,100,0.2472
5Y,30Y,150,0.2363
5Y,30Y,200,0.2310
6M,30Y,-200,1.0927
6M,30Y,-150,0.6891
6M,30Y,-100,0.5150
6M,30Y,-75,0.4551
6M,30Y,-50,0.4071
6M,30Y,-25,0.3689
6M,30Y,0,0.3400
6M,30Y,25,0.3198
6M,30Y,50,0.3074
6M,30Y,75,0.3013
6M,30Y,100,0.2998
6M,30Y,150,0.3041
6M,30Y,200,0.3127
6Y,30Y,-200,0.7012
6Y,30Y,-150,0.4982
6Y,30Y,-100,0.3984
6Y,30Y,-75,0.3630
6Y,30Y,-50,0.3336
6Y,30Y,-25,0.3093
6Y,30Y,0,0.2892
6Y,30Y,25,0.2727
6Y,30Y,50,0.2594
6Y,30Y,75,0.2489
6Y,30Y,100,0.2408
6Y,30Y,150,0.2304
6Y,30Y,200,0.2255
7Y,30Y,-200,0.6871
7Y,30Y,-150,0.4873
7Y,30Y,-100,0.3895
7Y,30Y,-75,0.3550
7Y,30Y,-50,0.3262
7Y,30Y,-25,0.3026
7Y,30Y,0,0.2829
7Y,30Y,25,0.2668
7Y,30Y,50,0.2539
7Y,30Y,75,0.2436
7Y,30Y,100,0.2358
7Y,30Y,150,0.2259
7Y,30Y,200,0.2212
8Y,30Y,-200,0.6784
8Y,30Y,-150,0.4782
8Y,30Y,-100,0.3815
8Y,30Y,-75,0.3475
8Y,30Y,-50,0.3192
8Y,30Y,-25,0.2959
8Y,30Y,0,0.2766
8Y,30Y,25,0.2609
8Y,30Y,50,0.2483
8Y,30Y,75,0.2383
8Y,30Y,100,0.2309
8Y,30Y,150,0.2215
8Y,30Y,200,0.2173
9Y,30Y,-200,0.6655
9Y,30Y,-150,0.4669
9Y,30Y,-100,0.3721
9Y,30Y,-75,0.3389
9Y,30Y,-50,0.3114
9Y,30Y,-25,0.2886
9Y,30Y,0,0.2699
9Y,30Y,25,0.2546
9Y,30Y,50,0.2423
9Y,30Y,75,0.2327
9Y,30Y,100,0.2254
9Y,30Y,150,0.2162
9Y,30Y,200,0.2122
10Y,5Y,-200,0.7596
10Y,5Y,-150,0.5355
10Y,5Y,-100,0.4327
10Y,5Y,-75,0.3971
10Y,5Y,-50,0.3679
10Y,5Y,-25,0.3436
10Y,5Y,0,0.3233
10Y,5Y,25,0.3063
10Y,5Y,50,0.2922
10Y,5Y,75,0.2805
10Y,5Y,100,0.2709
10Y,5Y,150,0.2571
10Y,5Y,200,0.2486
1M,5Y,-200,NA
1M,5Y,-150,NA
1M,5Y,-100,1.3245
1M,5Y,-75,0.9421
1M,5Y,-50,0.7337
1M,5Y,-25,0.6056
1M,5Y,-20,0.5869
1M,5Y,-15,0.5700
1M,5Y,-10,0.5553
1M,5Y,-5,0.5424
1M,5Y,0,0.5316
1M,5Y,5,0.5224
1M,5Y,10,0.5150
1M,5Y,15,0.5091
1M,5Y,20,0.5045
1M,5Y,25,0.5012
1M,5Y,50,0.4992
1M,5Y,75,0.5131
1M,5Y,100,0.5334
1M,5Y,150,0.5737
1M,5Y,200,0.6072
1Y,5Y,-200,NA
1Y,5Y,-150,NA
1Y,5Y,-100,0.9357
1Y,5Y,-75,0.7732
1Y,5Y,-50,0.6694
1Y,5Y,-25,0.5964
1Y,5Y,0,0.5424
1Y,5Y,25,0.5017
1Y,5Y,50,0.4712
1Y,5Y,75,0.4486
1Y,5Y,100,0.4320
1Y,5Y,150,0.4113
1Y,5Y,200,0.4015
2Y,5Y,-200,NA
2Y,5Y,-150,1.3330
2Y,5Y,-100,0.7802
2Y,5Y,-75,0.6723
2Y,5Y,-50,0.5960
2Y,5Y,-25,0.5389
2Y,5Y,0,0.4946
2Y,5Y,25,0.4598
2Y,5Y,50,0.4320
2Y,5Y,75,0.4102
2Y,5Y,100,0.3929
2Y,5Y,150,0.3693
2Y,5Y,200,0.3554
3M,5Y,-200,NA
3M,5Y,-150,NA
3M,5Y,-100,1.2131
3M,5Y,-75,0.9225
3M,5Y,-50,0.7535
3M,5Y,-25,0.6440
3M,5Y,-20,0.6272
3M,5Y,-15,0.6119
3M,5Y,-10,0.5980
3M,5Y,-5,0.5855
3M,5Y,0,0.5743
3M,5Y,5,0.5641
3M,5Y,10,0.5552
3M,5Y,15,0.5473
3M,5Y,20,0.5404
3M,5Y,25,0.5346
3M,5Y,50,0.5160
3M,5Y,75,0.5107
3M,5Y,100,0.5129
3M,5Y,150,0.5271
3M,5Y,200,0.5442
3Y,5Y,-200,NA
3Y,5Y,-150,0.9940
3Y,5Y,-100,0.6815
3Y,5Y,-75,0.6017
3Y,5Y,-50,0.5419
3Y,5Y,-25,0.4954
3Y,5Y,0,0.4583
3Y,5Y,25,0.4284
3Y,5Y,50,0.4041
3Y,5Y,75,0.3844
3Y,5Y,100,0.3686
3Y,5Y,150,0.3459
3Y,5Y,200,0.3320
4Y,5Y,-200,NA
4Y,5Y,-150,0.8346
4Y,5Y,-100,0.6137
4Y,5Y,-75,0.5501
4Y,5Y,-50,0.5004
4Y,5Y,-25,0.4609
4Y,5Y,0,0.4290
4Y,5Y,25,0.4028
4Y,5Y,50,0.3812
4Y,5Y,75,0.3635
4Y,5Y,100,0.3492
4Y,5Y,150,0.3281
4Y,5Y,200,0.3148
5Y,5Y,-200,1.4151
5Y,5Y,-150,0.7405
5Y,5Y,-100,0.5665
5Y,5Y,-75,0.5124
5Y,5Y,-50,0.4694
5Y,5Y,-25,0.4343
5Y,5Y,0,0.4057
5Y,5Y,25,0.3821
5Y,5Y,50,0.3625
5Y,5Y,75,0.3462
5Y,5Y,100,0.3328
5Y,5Y,150,0.3130
5Y,5Y,200,0.3003
6M,5Y,-200,NA
6M,5Y,-150,NA
6M,5Y,-100,1.0846
6M,5Y,-75,0.8579
6M,5Y,-50,0.7219
6M,5Y,-25,0.6307
6M,5Y,0,0.5678
6M,5Y,25,0.5252
6M,5Y,50,0.4975
6M,5Y,75,0.4807
6M,5Y,100,0.4712
6M,5Y,150,0.4649
6M,5Y,200,0.4671
6Y,5Y,-200,1.0999
6Y,5Y,-150,0.6737
6Y,5Y,-100,0.5272
6Y,5Y,-75,0.4797
6Y,5Y,-50,0.4413
6Y,5Y,-25,0.4099
6Y,5Y,0,0.3839
6Y,5Y,25,0.3624
6Y,5Y,50,0.3445
6Y,5Y,75,0.3297
6Y,5Y,100,0.3175
6Y,5Y,150,0.2995
6Y,5Y,200,0.2880
7Y,5Y,-200,0.9539
7Y,5Y,-150,0.6262
7Y,5Y,-100,0.4971
7Y,5Y,-75,0.4541
7Y,5Y,-50,0.4193
7Y,5Y,-25,0.3904
7Y,5Y,0,0.3665
7Y,5Y,25,0.3466
7Y,5Y,50,0.3300
7Y,5Y,75,0.3163
7Y,5Y,100,0.3050
7Y,5Y,150,0.2884
7Y,5Y,200,0.2778
8Y,5Y,-200,0.8663
8Y,5Y,-150,0.5891
8Y,5Y,-100,0.4716
8Y,5Y,-75,0.4316
8Y,5Y,-50,0.3992
8Y,5Y,-25,0.3721
8Y,5Y,0,0.3497
8Y,5Y,25,0.3311
8Y,5Y,50,0.3155
8Y,5Y,75,0.3025
8Y,5Y,100,0.2920
8Y,5Y,150,0.2764
8Y,5Y,200,0.2667
9Y,5Y,-200,0.8055
9Y,5Y,-150,0.5599
9Y,5Y,-100,0.4507
9Y,5Y,-75,0.4132
9Y,5Y,-50,0.3825
9Y,5Y,-25,0.3570
9Y,5Y,0,0.3358
9Y,5Y,25,0.3180
9Y,5Y,50,0.3032
9Y,5Y,75,0.2910
9Y,5Y,100,0.2810
9Y,5Y,150,0.2664
9Y,5Y,200,0.2573
